Densitat de poblaci¢. 2019;;;;;
Municipis amb mÇs de 20.000 habitants;;;;;
;;;;;
"Font: Idescat. Padr¢ municipal d'habitants; Institut CartogrÖfic de Catalunya.";;;;;
;;;;;
;;;;;
;Poblaci¢;;;;
;;Superf°cie;Densitat;Rang per;
;;km2;hab./km2;nombre d'hab.;
Barcelona;1.636.762;101,4;16.149,60;1;
Hospitalet de Llobregat, l';264.923;12,4;21.364,80;2;
Terrassa;220.556;70,2;3.143,60;3;
Badalona;220.440;21,2;10.407,90;4;
Sabadell;213.644;37,8;5.653,50;5;
Lleida;138.956;212,3;654,5;6;
Tarragona;134.515;57,9;2.324,00;7;
Matar¢;128.265;22,5;5.693,10;8;
Santa Coloma de Gramenet;119.215;7;17.030,70;9;
Reus;104.373;52,8;1.976,00;10;
Girona;101.852;39,1;2.603,60;11;
Sant Cugat del Valläs;91.006;48,2;1.886,90;12;
CornellÖ de Llobregat;88.592;7;12.674,10;13;
Sant Boi de Llobregat;83.605;21,5;3.894,00;14;
Manresa;77.714;41,7;1.865,90;15;
Rub°;77.464;32,3;2.398,30;16;
Vilanova i la Geltr£;67.086;34;1.973,70;17;
Castelldefels;67.004;12,9;5.206,20;18;
Viladecans;66.611;20,4;3.265,30;19;
Prat de Llobregat, el;64.599;31,4;2.056,60;20;
Granollers;61.275;14,9;4.120,70;21;
Cerdanyola del Valläs;57.403;30,6;1.878,40;22;
Mollet del Valläs;51.318;10,8;4.764,90;23;
GavÖ;46.771;30,8;1.521,00;24;
Esplugues de Llobregat;46.680;4,6;10.147,80;25;
Figueres;46.654;19,3;2.417,30;26;
Vic;46.214;30,6;1.511,30;27;
Sant Feliu de Llobregat;44.860;11,8;3.795,30;28;
Igualada;39.967;8,1;4.928,10;29;
Vilafranca del Penedäs;39.746;19,6;2.022,70;30;
Blanes;39.028;17,7;2.210,00;31;
Ripollet;38.665;4,3;8.929,60;32;
Lloret de Mar;38.373;48,7;787,8;33;
Vendrell, el;37.606;36,8;1.021,90;34;
Sant AdriÖ de Besïs;37.097;3,8;9.711,30;35;
Montcada i Reixac;36.239;23,5;1.544,10;36;
Olot;35.228;29;1.213,50;37;
Sant Joan Desp°;34.123;6,2;5.530,50;38;
Cambrils;33.898;35,2;962,7;39;
Tortosa;33.372;218,5;152,7;40;
BarberÖ del Valläs;33.091;8,3;3.982,10;41;
Salt;31.362;6,6;4.723,20;42;
Sant Pere de Ribes;30.719;40,8;752,9;43;
Sitges;29.307;43,9;668,4;44;
Martorell;28.189;12,8;2.209,20;45;
PremiÖ de Mar;28.119;2,1;13.326,50;46;
Sant Vicená dels Horts;28.117;9,1;3.083,00;47;
Sant Andreu de la Barca;27.558;5,5;5.010,60;48;
Salou;27.476;15,1;1.816,00;49;
Pineda de Mar;27.272;10,7;2.539,30;50;
Calafell;26.538;20,4;1.302,20;51;
Molins de Rei;25.868;15,9;1.622,80;52;
Santa Perpätua de Mogoda;25.799;15,8;1.629,80;53;
Valls;24.359;55,3;440,7;54;
Castellar del Valläs;24.187;44,9;538,6;55;
Olesa de Montserrat;23.904;16,6;1.437,40;56;
Masnou, el;23.515;3,4;6.936,60;57;
Palafrugell;22.974;26,9;854,7;58;
Esparreguera;22.251;27,4;812,1;59;
Vila-seca;22.187;21,6;1.025,30;60;
Sant Feliu de Gu°xols;21.925;16,2;1.350,90;61;
Vilassar de Mar;20.837;4;5.209,30;62;
Amposta;20.738;138,3;149,9;63;
Manlleu;20.573;17,2;1.194,00;64;
Sant Quirze del Valläs;20.141;14,1;1.431,50;65;
Franqueses del Valläs, les;20.092;29,1;689,5;66;
;;;;;
Institut d'Estad°stica de Catalunya;;;;;
https://www.idescat.cat/pub/aec/250;;;;;
