Producte interior brut. Revisió estadística 2019.
Municipis per àmbits del Pla territorial. Metropolità. 2018
Font: Idescat.
Notes:
- Anys 2017-2018. Dades provisionals
"- Les dades es presenten amb la distribució territorial actualment vigent, que són els 8 àmbits territorials de planificació (d'acord amb la Llei 23/2010, de creació de l'àmbit del Penedès, i de l'Acord de Govern 21/2014, que modifica territorialment els àmbits del Penedès i les Comarques Centrals)."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pibc&n=13830&geo=at:AT01&by=mun&lang=es
Codi,Literal,PIB milions d'euros,PIB  per habitant. Milers d'euros,PIB  per habitant. Índex Catalunya = 100
080018,Abrera,619.8,50.4,158.0,
080039,Alella,187.1,19.4,60.8,
080057,"Ametlla del Vallès, l'",232.5,27.5,86.2,
080060,Arenys de Mar,319.5,20.7,64.9,
080076,Arenys de Munt,156.1,17.8,55.8,
080095,Argentona,341.9,28.0,87.8,
080155,Badalona,4302.8,19.8,62.0,
089045,Badia del Vallès,103.1,7.7,24.2,
082520,Barberà del Vallès,1741.0,52.9,166.0,
080193,Barcelona,75892.4,46.9,147.1,
080207,Begues,96.7,13.9,43.5,
080235,Bigues i Riells,165.0,18.3,57.4,
080305,Cabrils,137.6,18.9,59.2,
080333,Caldes de Montbui,391.1,22.4,70.3,
080351,Calella,355.2,19.0,59.7,
080403,Canet de Mar,231.7,16.1,50.6,
080410,Canovelles,315.8,19.2,60.3,
080462,Cardedeu,370.0,20.3,63.7,
080517,Castellar del Vallès,559.8,23.3,73.0,
080543,Castellbisbal,1166.9,94.6,296.7,
080569,Castelldefels,1408.1,21.3,66.8,
082665,Cerdanyola del Vallès,2033.1,35.4,111.0,
080689,Cervelló,226.3,25.3,79.5,
080728,Corbera de Llobregat,202.6,13.9,43.5,
080734,Cornellà de Llobregat,2882.9,33.1,103.8,
080752,Dosrius,105.7,19.9,62.4,
080765,Esparreguera,458.8,20.9,65.5,
080771,Esplugues de Llobregat,1589.7,34.5,108.1,
080863,"Franqueses del Vallès, les",791.2,39.8,124.8,
080885,"Garriga, la",388.2,23.8,74.6,
